student_id,practice_hours,attendance,assignments_completed,final_score,passed,high_attendance,risk_score,risk_level
1,11.835384679783488,95.42903453538035,10,100.0,True,True,1.371289639385894,low
2,7.144298156528732,84.98535669053749,9,78.81844260717304,True,True,4.904392992838754,low
3,13.020370878759357,63.29349807297598,5,83.53907548818742,True,False,13.011950578107205,medium
4,10.763152406831097,98.4588188673862,10,100.0,True,True,0.4623543397841402,low
5,2.318482870427093,88.93754519828974,6,65.59348056927,True,True,4.918736440513078,low
6,14.658712922914583,85.84450945794978,7,98.12398177950072,True,True,5.446647162615065,low
7,11.655955827864942,72.46807510718943,6,100.0,True,False,9.859577467843168,low
8,12.004900273877354,63.61207809225795,4,100.0,True,False,13.316376572322614,medium
9,2.7935908574576422,54.81954810767496,10,64.83103102643614,True,False,13.55413556769751,medium
10,7.30540313053794,95.13011982719208,3,79.70479299920272,True,True,4.260964051842378,low
11,6.191172339256138,72.78881449168055,4,76.38291222576304,True,False,10.563355652495833,medium
12,13.974709843880426,60.11816823976152,4,99.6098048916694,True,False,14.364549528071542,medium
13,10.014111681129304,65.29783120753262,5,78.92545161256523,True,False,12.410650637740213,medium
14,12.51866258579162,78.9609784470948,4,90.8105118465422,True,False,8.71170646587156,low
15,7.207798783582636,58.83863914696158,3,76.1158446260057,True,False,15.148408255911525,medium
16,4.181342104986877,92.83071420461876,8,82.83486418595498,True,True,2.950785738614373,low
17,8.764187018221687,87.92597649176051,10,92.01118131234384,True,True,3.6222070524718473,low
18,1.8934415854584543,85.97314779754683,3,65.05777609045263,True,True,7.008055660735952,low
19,12.586836407896149,71.6046519887552,5,84.99377497507926,True,False,10.518604403373441,medium
20,9.843301587708908,81.36544203512216,7,89.25874575817949,True,True,6.790367389463353,low
21,11.613228361195231,79.20489844563679,10,97.5023580643525,True,False,6.238530466308964,low
22,5.963363553818157,82.492330077741,8,83.69234085211193,True,True,6.052300976677699,low
23,14.589772341528644,54.222216056994455,9,95.75334877397516,True,False,14.133335182901664,medium
24,13.503695698510768,70.79037010853048,7,99.31452438613525,True,False,9.962888967440854,low
25,11.897368959032669,52.08070869309462,6,91.82717865995446,True,False,15.975787392071613,medium
26,3.724941909927546,74.69954096222594,4,69.76438665371768,True,False,9.990137711332219,low
27,7.534094052178478,66.49306061663927,9,85.71728232660202,True,False,10.452081815008219,medium
28,1.6132527210212029,57.226209443302345,9,67.10546090126793,True,False,13.232137167009297,medium
29,3.1600528889456694,55.17014838612758,3,61.19309128435314,True,False,16.248955484161726,medium
30,10.562685345394364,79.3822286088856,8,89.64448034799307,True,False,6.98533141733432,low
31,11.42667018270944,58.529648426844304,3,84.28155887185122,True,False,15.241105471946709,medium
32,14.54513625407894,96.25600591883986,8,100.0,True,True,1.9231982243480417,low
33,5.561555013934127,79.05305698501975,9,92.63299332574324,True,False,6.684082904494075,low
34,6.186435884488164,67.34349022674185,4,81.16873678028207,True,False,12.196952931977446,medium
35,7.573781357861311,79.54577457407083,6,84.75012980095349,True,False,7.73626762777875,low
36,3.65259902718,51.14019355148488,3,57.60125990734738,False,False,18.177563962350323,medium
37,2.818901074696603,97.92796066207228,7,71.46718549234248,True,True,1.821611801378316,low
38,7.659868967163073,74.115171847145,10,93.63418014513826,True,False,7.765448445856498,low
39,4.176730886712377,89.1367613625143,3,73.53976368314521,True,True,6.058971591245708,low
40,10.377395925555144,54.13649999612193,6,85.8783318298764,True,False,15.359050001163421,medium
41,7.12012686421263,74.33291654190802,10,77.66061636113761,True,False,7.700125037427593,low
42,12.657494744809725,74.53534971772605,5,97.41476669924673,True,False,9.639395084682185,low
43,10.803711428031487,96.89132274874912,4,94.5042109483378,True,True,3.3326031753752647,low
44,5.373132979348575,78.58640261880377,6,71.52727968099998,True,False,8.024079214358867,low
45,12.651637219532814,73.6744700528477,7,93.1900865247942,True,False,9.097658984145692,low
46,12.266701004955229,63.34878315459468,8,94.82253432281932,True,False,11.795365053621596,medium
