student_id,practice_hours,attendance,assignments_completed,final_score,passed,high_attendance,risk_score
1,11.835384679783488,95.42903453538035,10,100.0,True,True,1.828386185847859
2,7.144298156528732,84.98535669053749,9,78.81844260717304,True,True,10.005857323785005
3,13.020370878759355,63.29349807297598,5,83.53907548818742,True,False,34.68260077080961
4,10.763152406831095,98.45881886738619,10,100.0,True,True,0.616472453045526
5,2.3184828704270934,88.93754519828974,6,65.59348056927,True,True,20.424981920684104
6,14.658712922914583,85.84450945794978,7,98.12398177950071,True,True,17.662196216820085
7,11.655955827864942,72.46807510718943,6,100.0,True,False,27.012769957124227
8,12.004900273877354,63.61207809225795,4,100.0,True,False,38.555168763096816
9,2.7935908574576422,54.81954810767496,10,64.83103102643614,True,False,18.072180756930017
10,7.30540313053794,95.13011982719209,3,79.70479299920272,True,True,29.947952069123165
11,6.191172339256138,72.78881449168055,4,76.38291222576304,True,False,34.88447420332778
12,13.974709843880426,60.118168239761516,4,99.6098048916694,True,False,39.952732704095396
13,10.014111681129304,65.29783120753262,5,78.92545161256523,True,False,33.88086751698695
14,12.51866258579162,78.9609784470948,4,90.8105118465422,True,False,32.41560862116208
15,7.207798783582636,58.83863914696158,3,76.1158446260057,True,False,44.46454434121537
16,4.181342104986877,92.83071420461877,8,82.83486418595498,True,True,10.86771431815249
17,8.764187018221687,87.92597649176051,10,92.01118131234385,True,True,4.829609403295797
18,1.8934415854584545,85.97314779754683,3,65.05777609045263,True,True,33.61074088098127
19,12.586836407896149,71.6046519887552,5,84.99377497507926,True,False,31.358139204497924
20,9.843301587708908,81.36544203512216,7,89.25874575817949,True,True,19.453823185951137
21,11.613228361195233,79.20489844563679,10,97.5023580643525,True,False,8.318040621745286
22,5.963363553818157,82.492330077741,8,83.69234085211193,True,True,15.0030679689036
23,14.589772341528645,54.222216056994455,9,95.75334877397515,True,False,22.311113577202217
24,13.503695698510768,70.79037010853048,7,99.31452438613523,True,False,23.68385195658781
25,11.897368959032667,52.08070869309462,6,91.82717865995446,True,False,35.16771652276215
26,3.724941909927546,74.69954096222594,4,69.76438665371768,True,False,34.120183615109624
27,7.534094052178478,66.49306061663927,9,85.71728232660202,True,False,17.402775753344294
28,1.6132527210212029,57.226209443302345,9,67.10546090126793,True,False,21.109516222679062
29,3.1600528889456694,55.17014838612758,3,61.19309128435314,True,False,45.93194064554897
30,10.562685345394364,79.3822286088856,8,89.64448034799307,True,False,16.24710855644576
31,11.42667018270944,58.529648426844304,3,84.28155887185122,True,False,44.588140629262284
32,14.54513625407894,96.25600591883986,8,100.0,True,True,9.497597632464055
33,5.561555013934127,79.05305698501975,9,92.63299332574323,True,False,12.3787772059921
34,6.186435884488164,67.34349022674185,4,81.16873678028207,True,False,37.06260390930326
35,7.573781357861311,79.54577457407083,6,84.75012980095349,True,False,24.181690170371667
36,3.65259902718,51.14019355148488,3,57.601259907347384,False,False,48.98316663499762
37,2.818901074696603,97.92796066207227,7,71.46718549234248,True,True,12.828815735171094
38,7.659868967163073,74.115171847145,10,93.63418014513826,True,False,10.353931261141998
39,4.176730886712377,89.1367613625143,3,73.53976368314521,True,True,32.34529545499428
40,10.377395925555145,54.13649999612193,6,85.8783318298764,True,False,34.345400001551226
41,7.12012686421263,74.33291654190802,10,77.66061636113761,True,False,10.266833383236794
42,12.657494744809725,74.53534971772605,5,97.41476669924673,True,False,30.18586011290958
43,10.803711428031487,96.89132274874913,4,94.50421094833781,True,True,25.24347090050035
44,5.373132979348575,78.58640261880377,6,71.52727968099998,True,False,24.56543895247849
45,12.651637219532814,73.6744700528477,7,93.19008652479421,True,False,22.530211978860923
46,12.266701004955227,63.34878315459468,8,94.82253432281932,True,False,22.660486738162128
47,6.424697306422442,66.5784498671276,5,75.46868972461922,True,False,33.36862005314896
48,5.036593455023418,76.0336201235769,10,80.139032739435,True,False,9.586551950569243
49,10.554937055649656,71.94557301525234,7,89.35629455260741,True,False,23.22177079389907
50,2.9565347705303373,51.08060399401652,5,61.401601033795544,True,False,39.567758402393395
51,3.7987148346515163,91.31459620971789,10,83.08824869957061,True,True,3.4741615161128436
52,1.1030717765140772,94.80803859198834,10,83.81714895424807,True,True,2.076784563204666
53,12.016941285029937,57.01245444993054,6,75.46217462040099,True,False,33.19501822002779
54,10.30791199228845,77.70180717695247,3,83.51098045241082,True,False,36.91927712921901
55,10.872315300768692,55.42878705677218,7,87.42054712297701,True,False,29.828485177291128
56,11.93020643430755,83.61200465199059,7,97.708487197202,True,True,18.555198139203764
57,7.424820857536759,64.06168919195042,4,73.71790153522306,True,False,38.37532432321983
